director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Jack Kinney,Frankie Darro,Christian Rub,Dickie Jones,Animation  Family  Fantasy,pinocchio,Frankie Darro Christian Rub Dickie Jones Jack Kinney Animation  Family  Fantasy
Jonathan Goldstein,Jeffrey Wright,Michael David Yuhl,Chad Lail,Mystery  Comedy  Crime,game night,Jeffrey Wright Michael David Yuhl Chad Lail Jonathan Goldstein Mystery  Comedy  Crime
Shawn Levy,Rebel Wilson,Skyler Gisondo,Anjali Jay,Adventure  Comedy  Fantasy  Family,night at the museum: secret of the tomb,Rebel Wilson Skyler Gisondo Anjali Jay Shawn Levy Adventure  Comedy  Fantasy  Family
Gavin Hood,Andrea Powell,Nonso Anozie,Ben Kingsley,Science Fiction  Action  Adventure,ender's game,Andrea Powell Nonso Anozie Ben Kingsley Gavin Hood Science Fiction  Action  Adventure
Greg Mottola,Chris Kittinger,Joe Berryman,Michael Neal Powell,Adventure  Comedy  Science Fiction,paul,Chris Kittinger Joe Berryman Michael Neal Powell Greg Mottola Adventure  Comedy  Science Fiction
Leigh Whannell,Serag Mohammed,Xavier Fernández,Michael Knott,Thriller  Science Fiction  Horror,the invisible man,Serag Mohammed Xavier Fernández Michael Knott Leigh Whannell Thriller  Science Fiction  Horror
Seth Rogen,Randall Park,Charles Rahi Chun,Daniel Junghuan Park,Action  Comedy,the interview,Randall Park Charles Rahi Chun Daniel Junghuan Park Seth Rogen Action  Comedy
Andy Tennant,Chris Santos,Joe Lo Truglio,Mimi Weddell,Comedy  Drama  Romance,hitch,Chris Santos Joe Lo Truglio Mimi Weddell Andy Tennant Comedy  Drama  Romance
Michael Mann,John Convertino,Mark Stainbrook,Rodney Sandberg,Drama  Crime  Thriller,collateral,John Convertino Mark Stainbrook Rodney Sandberg Michael Mann Drama  Crime  Thriller
Jaco Van Dormael,Lola Pauwels,Christophe Beaucarne,Dominique Warnier,Science Fiction  Drama  Romance,mr. nobody,Lola Pauwels Christophe Beaucarne Dominique Warnier Jaco Van Dormael Science Fiction  Drama  Romance
Richard Donner,Joe Pantoliano,Eric Briant Wells,Keenan Wynn,Adventure  Comedy  Family,the goonies,Joe Pantoliano Eric Briant Wells Keenan Wynn Richard Donner Adventure  Comedy  Family
Doug Liman,Damir Andrei,Giorgio Santangelo,AnnaSophia Robb,Action  Adventure  Science Fiction,jumper,Damir Andrei Giorgio Santangelo AnnaSophia Robb Doug Liman Action  Adventure  Science Fiction
Tom Shadyac,Paul Roache,Ben Lemon,Swoosie Kurtz,Comedy,liar liar,Paul Roache Ben Lemon Swoosie Kurtz Tom Shadyac Comedy
Ruben Fleischer,John Dixon,Emma Stone,Michael A. Martinez,Horror  Comedy,zombieland: double tap,John Dixon Emma Stone Michael A. Martinez Ruben Fleischer Horror  Comedy
Duncan Jones,Benedict Wong,Robin Chalk,Rosie Shaw,Science Fiction  Drama,moon,Benedict Wong Robin Chalk Rosie Shaw Duncan Jones Science Fiction  Drama
Craig Gillespie,Bobby Browning,Sean Goulding,Julianne Nicholson,Drama  Comedy,"i, tonya",Bobby Browning Sean Goulding Julianne Nicholson Craig Gillespie Drama  Comedy
M. Night Shyamalan,Merritt Wever,Kevin Pires,Babita Hariani,Thriller  Science Fiction  Horror,signs,Merritt Wever Kevin Pires Babita Hariani M. Night Shyamalan Thriller  Science Fiction  Horror
Mel Gibson,Rafael Velez,Rudy Youngblood,Amilcar Ramírez,Action  Drama  History,apocalypto,Rafael Velez Rudy Youngblood Amilcar Ramírez Mel Gibson Action  Drama  History
Paul Greengrass,Matt Damon,Benedikt Laumann,Alyx Stone,Action  Adventure  Thriller,jason bourne,Matt Damon Benedikt Laumann Alyx Stone Paul Greengrass Action  Adventure  Thriller
Gore Verbinski,Barry Pepper,Alex Knight,Kevin Wiggins,Action  Adventure  Western,the lone ranger,Barry Pepper Alex Knight Kevin Wiggins Gore Verbinski Action  Adventure  Western
John Carpenter,Darla Rae,John Michael Graham,Brian Andrews,Horror  Thriller,halloween,Darla Rae John Michael Graham Brian Andrews John Carpenter Horror  Thriller
Robert Zemeckis,Pat Buttram,June Foray,Mel Blanc,Fantasy  Animation  Comedy  Crime,who framed roger rabbit,Pat Buttram June Foray Mel Blanc Robert Zemeckis Fantasy  Animation  Comedy  Crime
Jaume Collet-Serra,Kevin LaRosa,Emily Blunt,Andy Nyman,Fantasy  Adventure  Family  Action  Comedy,jungle cruise,Kevin LaRosa Emily Blunt Andy Nyman Jaume Collet-Serra Fantasy  Adventure  Family  Action  Comedy
Brian De Palma,Eddie Minasian,Colleen Bade,Larry Brandenburg,Crime  History  Thriller,the untouchables,Eddie Minasian Colleen Bade Larry Brandenburg Brian De Palma Crime  History  Thriller
Brad Bird,Jennifer Aniston,Jennifer Darling,Mickie McGowan,Animation  Science Fiction  Family  Drama,the iron giant,Jennifer Aniston Jennifer Darling Mickie McGowan Brad Bird Animation  Science Fiction  Family  Drama
Stanley Kubrick,John McCarthy,Burnell Tucker,Peter Evans,Comedy  War,dr. strangelove or: how i learned to stop worrying and love the bomb,John McCarthy Burnell Tucker Peter Evans Stanley Kubrick Comedy  War
Genndy Tartakovsky,Mona Marshall,Fred Tatasciore,Jon Lovitz,Animation  Comedy  Family  Fantasy,hotel transylvania 2,Mona Marshall Fred Tatasciore Jon Lovitz Genndy Tartakovsky Animation  Comedy  Family  Fantasy
Kathryn Bigelow,David Morse,Brian Geraghty,Malcolm Barrett,Drama  Thriller  War,the hurt locker,David Morse Brian Geraghty Malcolm Barrett Kathryn Bigelow Drama  Thriller  War
Richard Linklater,Veronica Afflerbach,Robert Lin,Frank Whaley,Comedy  Music  Family,school of rock,Veronica Afflerbach Robert Lin Frank Whaley Richard Linklater Comedy  Music  Family
Olivier Megaton,Preston Baker,Stefanie Kleine,Pete Thias,Thriller  Action,taken 3,Preston Baker Stefanie Kleine Pete Thias Olivier Megaton Thriller  Action
Tony Gilroy,Robert Prescott,Gary Lee Mahmoud,Rachel Black,Action  Thriller,the bourne legacy,Robert Prescott Gary Lee Mahmoud Rachel Black Tony Gilroy Action  Thriller
